node_set,year,age_bin,n_circumcisions
9,2013.0,[15:50),23714.25037
9,2013.0,[50:65),161.5199821
9,2014.0,[0:1),187.6194611
9,2014.0,[1:15),12459.97627
9,2014.0,[15:50),21718.88802
9,2014.0,[50:65),337.5683744
9,2015.0,[0:1),0.0
9,2015.0,[1:15),7361.463215
9,2015.0,[15:50),17281.8046
9,2015.0,[50:65),132.2932661
10,2010.0,[1:15),297.6755975
10,2010.0,[15:50),1266.225597
10,2011.0,[1:15),737.4401974
10,2011.0,[15:50),1224.476258
10,2012.0,[0:1),0.0
10,2012.0,[1:15),5032.643938
10,2012.0,[15:50),6336.280979
10,2012.0,[50:65),134.908427
10,2013.0,[0:1),0.0
10,2013.0,[1:15),12710.26399
10,2013.0,[15:50),8950.712003
10,2013.0,[50:65),140.6493719
10,2014.0,[0:1),229.3530145
10,2014.0,[1:15),14772.89275
10,2014.0,[15:50),10155.80718
10,2014.0,[50:65),208.8526039
10,2015.0,[0:1),0.0
10,2015.0,[1:15),3845.473383
10,2015.0,[15:50),2879.165192
10,2015.0,[50:65),0.0
