Parameter,Type,Min,Max,Default,Description
Air_Migration_Filename,string,NA,NA,"""""",The path to the input file that defines patterns of migration by airplane. **Enable_Air_Migration** must be set to true (1). See [Migration](software-migration.md) for information on migration files.
Campaign_Filename,string,NA,NA,,The path to the campaign file. It is required when interventions are part of the simulation and **Enable_Interventions** is set to true (1). The file must be in .json format.
Demographics_Filenames,array of strings,NA,NA,[],An array of the paths to demographics files containing information on the identity and demographics of the region to simulate. The files must be in .json format. Note that this parameter is only required when **Enable_Demographics_Builtin** is set to 0. See [example](../json/config-input-demographics-filenames.json).
Family_Migration_Filename,string,NA,NA,"""""",The name of the binary file to use to configure family migration. **Enable_Family_Migration** must be set to true (1). See [Migration](software-migration.md) for information on migration files.
Load_Balance_Filename,string,NA,NA,UNINITIALIZED STRING,The path to the input file used when a static load balancing scheme is selected. The file must be in .json format.
Local_Migration_Filename,string,NA,NA,"""""",The path of the input file which defines patterns of migration to adjacent nodes by foot travel. See [Migration](software-migration.md) for information on migration files.
Regional_Migration_Filename,string,NA,NA,"""""","The path of the input file which defines patterns of migration by vehicle via road or rail network. If the node is not on a road or rail network, regional migration focuses on the closest hub city in the network. The file must be in .bin format. See [Migration](software-migration.md) for information on migration files."
Sea_Migration_Filename,string,NA,NA,"""""",The path of the input file which defines patterns of migration by ship. Only used when **Enable_Sea_Migration** is set to true (1). The file must be in .bin format. See [Migration](software-migration.md) for information on migration files.
