Parameter,Type,Min,Max,Default,Description
Duration_Before_Leaving_Distribution,enum,NA,NA,NOT_INITIALIZED,"The distribution type to use for assigning the duration of time an individual or family waits before migrating to the destination node after all residents are home. Each assigned value is a random draw from the distribution.<br> <br> Possible values are:<br> <br> NOT_INITIALIZED<br> No distribution set. <br> CONSTANT_DISTRIBUTION<br> Use the same value for each individual. Set **Duration_Before_Leaving_Constant**.<br> UNIFORM_DISTRIBUTION<br> Use a `uniform`_ distribution with a given minimum and maximum. Set **Duration_Before_Leaving_Max** and **Duration_Before_Leaving_Min**.<br> GAUSSIAN_DISTRIBUTION<br> The distribution is `Gaussian`_ (or normal). Values are resampled to ensure >= 0. Set **Duration_Before_Leaving_Gaussian_Mean** and **Duration_Before_Leaving_Gaussian_Std_Dev**.<br> EXPONENTIAL_DISTRIBUTION<br> The distribution is `exponential`_ with a given mean. Set **Duration_Before_Leaving_Exponential**.<br> WEIBULL_DISTRIBUTION<br> Use a `Weibull`_ distribution with a given shape and scale. Set **Duration_Before_Leaving_Kappa** and **Duration_Before_Leaving_Lambda**.<br> LOG_NORMAL_DISTRIBUTION<br> Use a `log-normal`_ distribution with a given mean and standard deviation of the natural log. Set **Duration_Before_Leaving_Log_Normal_Mu** and **Duration_Before_Leaving_Log_Normal_Sigma**.<br> POISSON_DISTRIBUTION<br> Use a `Poisson`_ distribution with a given mean. Set **Duration_Before_Leaving_Poisson_Mean**. <br> DUAL_CONSTANT_DISTRIBUTION<br> Use a distribution where some individuals are set to a value of zero and the rest to a given value. Set **Duration_Before_Leaving_Proportion_0** and **Peak_2_Value**. This distribution does not use the parameters set for CONSTANT_DISTRIBUTION.<br> DUAL_EXPONENTIAL_DISTRIBUTION<br> Use two `exponential`_ distributions with given means. Set **Duration_Before_Leaving_Mean_1**, **Duration_Before_Leaving_Mean_2**, and **Duration_Before_Leaving_Proportion_1**. This distribution does not use the parameters set for EXPONENTIAL_DISTRIBUTION.<br> <br> .. _Gaussian: https://en.wikipedia.org/wiki/Normal_distribution<br> <br> .. _exponential: https://en.wikipedia.org/wiki/Exponential_distribution<br> <br> .. _Weibull: https://en.wikipedia.org/wiki/Weibull_distribution<br> <br> .. _log-normal: https://en.wikipedia.org/wiki/Log-normal_distribution<br> <br> .. _uniform: https://en.wikipedia.org/wiki/Uniform_distribution_(continuous)<br> <br> .. _Poisson: https://en.wikipedia.org/wiki/Poisson_distribution"
Duration_Before_Leaving_Exponential,float,0,3.40282E+38,-1,"The mean of the duration before leaving node, in days, when **Duration_Before_Leaving_Distribution** is set to EXPONENTIAL_DISTRIBUTION."
Duration_Before_Leaving_Gaussian_Mean,float,0,3.40282E+38,-1,"The mean of the duration before leaving the node, in days, when **Duration_Before_Leaving_Distribution** is set to GAUSSIAN_DISTRIBUTION."
Duration_Before_Leaving_Gaussian_Std_Dev,float,1.17549E-38,3.40282E+38,1,"The standard deviation of the duration before leaving the node, in days, when **Duration_Before_Leaving_Distribution** is set to GAUSSIAN_DISTRIBUTION."
Duration_Before_Leaving_Kappa,float,1.17549E-38,3.40282E+38,-1,"The shape value for the duration before leaving the home node, in days, when **Duration_Before_Leaving_Distribution** is set to WEIBULL_DISTRIBUTION."
Duration_Before_Leaving_Lambda,float,1.17549E-38,3.40282E+38,-1,"The scale value for the duration before leaving the home node, in days, when **Duration_Before_Leaving_Distribution** is set to WEIBULL_DISTRIBUTION."
Duration_Before_Leaving_Log_Normal_Mu,float,-3.40282e+38,1.70141e+38,3.40282E+38,"The mean of the natural log of the duration before leaving the home node, in days, when **Duration_Before_Leaving_Distribution** is set to LOG_NORMAL_DISTRIBUTION."
Duration_Before_Leaving_Log_Normal_Sigma,float,-3.40282e+38,1.70141e+38,3.40282E+38,"The standard deviation of the natural log of the duration before leaving the home node, in days, when **Duration_Before_Leaving_Distribution** is set to LOG_NORMAL_DISTRIBUTION."
Duration_Before_Leaving_Max,float,0,3.40282E+38,-1,"The maximum duration before leaving the home node, in days, when **Duration_Before_Leaving_Distribution** is set to UNIFORM_DISTRIBUTION."
Duration_Before_Leaving_Mean_1,float,1.17549E-38,3.40282E+38,-1,"The mean of the first exponential distribution, in days, when **Duration_Before_Leaving_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION."
