Parameter,Type,Min,Max,Default,Description
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
Dont_Allow_Duplicates,boolean,0,1,0,"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes."
Event_Trigger,enum,NA,NA,"""""",The name of the event to broadcast to selected nodes. See [Event list](parameter-campaign-event-list.md) for possible values.
Include_My_Node,boolean,0,1,0,Set to true (1) to broadcast the event to the current node.
Intervention_Name,string,NA,NA,BroadcastEventToOtherNodes,The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.
Max_Distance_To_Other_Nodes_Km,float,0,3.40282e+38,3.40282e+38,"The maximum distance, in kilometers, to the destination node for the node to be selected. The location values used are those entered in the demographics file. Used only if **Node_Selection_Type** is either DISTANCE_ONLY or DISTANCE_AND_MIGRATION."
New_Property_Value,string,NA,NA,"""""","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one."
Node_Selection_Type,enum,NA,NA,DISTANCE_ONLY,"The method by which to select nodes to receive the event. Possible values are:<br> <br> DISTANCE_ONLY<br> Nodes located within the distance specified by **Max_Distance_To_Other_Nodes_Km** are selected.<br> MIGRATION_NODES_ONLY<br> Nodes that are local, regional, or connected in the migration file are selected.<br> DISTANCE_AND_MIGRATION<br> Nodes are selected using DISTANCE_ONLY and MIGRATION_NODES_ONLY criteria."
