Parameter,Data type,Min,Max,Default,Description
`Report_Node_Event_Recorder`,boolean,0,1,0,Set to 1 to enable the ReportNodeEventRecorder.csv output report.
`Report_Node_Event_Recorder_Events`,array of strings,NA,NA,[],"The list of node events to include or exclude in the ReportNodeEventRecorder.csv output report, based on how **Report_Node_Event_Recorder_Ignore_Events_In_List** is set. Events are sourced from **Custom_Node_Events** or built-in node events. If the list is empty and **Report_Node_Event_Recorder_Ignore_Events_In_List** is set to 0, no events will be recorded."
`Report_Node_Event_Recorder_Ignore_Events_In_List`,boolean,0,1,0,"If set to false (0), only the node events listed in the **Report_Node_Event_Recorder_Events** array will be included in the ReportNodeEventRecorder.csv output report. If set to true (1), only the node events listed in the array will be excluded, and all other node events will be included. To return all node events from the simulation, set this value to 1 and leave the **Report_Node_Event_Recorder_Events** array empty."
`Report_Node_Event_Recorder_Node_Properties`,array of strings,NA,NA,[],"An array of optional node property keys, as defined in **NodeProperties** in the demographics file, to be added as additional columns to the ReportNodeEventRecorder.csv output report. See [Individual and node properties](model-properties.md) for details on setting node properties."
`Report_Node_Event_Recorder_Stats_By_IPs`,array of strings,NA,NA,[],"An array of optional individual property (IP) keys, as defined in **IndividualProperties** in the demographics file, to be added to the ReportNodeEventRecorder.csv output report. For each IP key listed, two additional columns per IP key-value pair are added: one for the number of qualifying individuals with that value and one for the number of infected individuals with that value. See [Individual and node properties](model-properties.md) for details on setting individual properties."
