Parameter,Data type,Min,Max,Default,Description
`Report_Coordinator_Event_Recorder`,boolean,0,1,0,Set to 1 to enable the ReportCoordinatorEventRecorder.csv output report.
`Report_Coordinator_Event_Recorder_Events`,array of strings,NA,NA,[],"The list of coordinator events to include or exclude in the ReportCoordinatorEventRecorder.csv output report, based on how **Report_Coordinator_Event_Recorder_Ignore_Events_In_List** is set. Events are sourced from **Custom_Coordinator_Events** or built-in coordinator events. If the list is empty and **Report_Coordinator_Event_Recorder_Ignore_Events_In_List** is set to 0, no events will be recorded."
`Report_Coordinator_Event_Recorder_Ignore_Events_In_List`,boolean,0,1,0,"If set to false (0), only the events listed in the **Report_Coordinator_Event_Recorder_Events** array will be included in the ReportCoordinatorEventRecorder.csv output report. If set to true (1), only the events listed in the array will be excluded, and all other events will be included. To return all events from the simulation, set this value to 1 and leave the **Report_Coordinator_Event_Recorder_Events** array empty."
