Parameter,Type,Min,Max,Default,Description
ART_Survival_Hazard_Ratio_Female,float,1e-06,1e+06,0.6775,The hazard ratio comparing survival female to male survival for those starting ART.
ART_Survival_Hazard_Ratio_WHO_Stage_3Plus,float,1e-06,1e+06,2.7142,The hazard ratio comparing those starting ART in WHO stage >= 3 to those in WHO stage < 3.
ART_Survival_WHO_Stage_Threshold_For_Cox,float,0,5,3,"If the person receiving ART has a WHO Stage greater than or equal to this threshold, then use the hazard ratio determined by the parameter **ART_Survival_Hazard_Ratio_WHO_Stage_3Plus**."
Cost_To_Consumer,float,0,99999,1,Unit cost per drug (unamortized).
Days_To_Achieve_Viral_Suppression,float,0,3.40282e+38,183,The number of days after ART initiation over which infectiousness declines linearly until the **ART_Multiplier_On_Transmission_Prob_Per_Act** takes full effect.
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
Dont_Allow_Duplicates,boolean,0,1,0,"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes."
Intervention_Name,string,NA,NA,AntiretroviralTherapyFull,The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.
New_Property_Value,string,NA,NA,"""""","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is distributed. See [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one."
Stop_ART_Event,string,NA,NA,"""""",This event is broadcasted when the person drops off ART. This could happen either via the timer running out or the intervention detected a disqualifying property.  See [Event list](parameter-campaign-event-list.md) for possible values or define custom events by adding to the list for the configuration parameter **Custom_Individual_Event**.
Time_On_ART_Constant,float,0,3.40282e+38,6,Each instance will receive this constant/fixed value.
Time_On_ART_Distribution,enum,NA,NA,NOT_INITIALIZED,The type of distribution to use when determine how long a person will be on ART. Possible values are:<br> <br> * NOT_INITIALIZED<br> * CONSTANT_DISTRIBUTION<br> * UNIFORM_DISTRIBUTION<br> * GAUSSIAN_DISTRIBUTION<br> * EXPONENTIAL_DISTRIBUTION<br> * POISSON_DISTRIBUTION<br> * LOG_NORMAL_DISTRIBUTION<br> * DUAL_CONSTANT_DISTRIBUTION<br> * WEIBULL_DISTRIBUTION<br> * DUAL_EXPONENTIAL_DISTRIBUTION
Time_On_ART_Exponential,float,0,3.40282e+38,6,The mean for an exponential distribution.
Time_On_ART_Gaussian_Mean,float,0,3.40282e+38,6,The mean for a Gaussian distribution.
Time_On_ART_Gaussian_Std_Dev,float,1.17549e-38,3.40282e+38,1,The standard deviation for a Gaussian distribution.
Time_On_ART_Kappa,float,1.17549e-38,3.40282e+38,1,The shape value in a Weibull distribution.
Time_On_ART_Lambda,float,1.17549e-38,3.40282e+38,1,The scale value in a Weibull distribution.
Time_On_ART_Log_Normal_Mu,float,-3.40282e+38,3.40282e+38,6,The mean for a log-normal distribution.
Time_On_ART_Log_Normal_Sigma,float,-3.40282e+38,3.40282e+38,1,The width for a log-normal distribution.
Time_On_ART_Max,float,0,3.40282e+38,1,The maximum of the uniform distribution.
Time_On_ART_Mean_1,float,1.17549e-38,3.40282e+38,1,The mean of the first exponential distribution.
Time_On_ART_Mean_2,float,1.17549e-38,3.40282e+38,1,The mean of the second exponential distribution.
Time_On_ART_Min,float,0,3.40282e+38,0,The minimum of the uniform distribution.
Time_On_ART_Peak_2_Value,float,0,3.40282e+38,1,The value to assign to the remaining individuals.
Time_On_ART_Poisson_Mean,float,0,3.40282e+38,6,The mean for a Poisson distribution.
Time_On_ART_Proportion_0,float,0,1,1,The proportion of individuals to assign a value of zero.
Time_On_ART_Proportion_1,float,0,1,1,The proportion of individuals in the first exponential distribution.
