Parameter,Type,Min,Max,Default,Description
Daily_Probability,float,0,1,1,The daily probability that an individual will move to the **Target_Property_Value**.
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to nodes with these values). See [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
Dont_Allow_Duplicates,boolean,0,1,0,"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes."
Intervention_Name,string,NA,NA,PropertyValueChanger,The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.
Maximum_Duration,float,-1,3.40E+38,3.40E+38,The maximum amount of time individuals have to move to a new group. This timing works in conjunction with **Daily_Probability**.
New_Property_Value,string,NA,NA,"""""","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See [IndividualProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one."
Revert,float,0,3.40E+38,0,The number of days before an individual moves back to their original group.
Target_Property_Key,string,NA,NA,"""""",The name of the individual property type whose value will be updated by the intervention.
Target_Property_Value,string,NA,NA,"""""",The user-defined value of the individual property that will be assigned to the individual.
