Parameter,Data type,Min,Max,Default,Description
`Report_Surveillance_Event_Recorder`,boolean,0,1,0,Set to 1 to enable the ReportSurveillanceEventRecorder.csv output report.
`Report_Surveillance_Event_Recorder_Events`,array of strings,NA,NA,[],"The list of coordinator events to include or exclude in the output report, based on how **Report_Surveillance_Event_Recorder_Ignore_Events_In_List** is set. Events are sourced from **Custom_Coordinator_Events** or built-in coordinator events. If the list is empty and **Report_Surveillance_Event_Recorder_Ignore_Events_In_List** is set to 0, no events will be recorded."
`Report_Surveillance_Event_Recorder_Ignore_Events_In_List`,boolean,0,1,0,"If set to false (0), only the events listed in **Report_Surveillance_Event_Recorder_Events** will be included in the output report. If set to true (1), only the events listed in the array will be excluded, and all other events will be included. To return all events from the simulation, set this value to 1 and leave the **Report_Surveillance_Event_Recorder_Events** array empty."
`Report_Surveillance_Event_Recorder_Stats_By_IPs`,array of strings,NA,NA,[],"An array of individual property (IP) key names, as defined in **IndividualProperties** in the demographics file, to be added to the output report. For each IP key listed, two additional columns per IP key-value pair are added to the report: one for the number of qualifying individuals with that value and one for the number of infected individuals with that value. See [Individual and node properties](model-properties.md) for details on setting individual properties."
