Parameter,Type,Min,Max,Default,Description
Axes,array of strings,NA,NA,NA,The axes defined in **Group** to use for the weighting matrix for pair formation. The order of the array defines the order of the weighting matrix. See [example](../json/demo-assortivity-hiv-axes.json).
Group,enum,NA,NA,NO_GROUP,"The group that individuals may belong to that is used for weighting assortivity for pair formation. Possible values are:<br> <br> NO_GROUP<br> Pair with the first person on the list (no axes).<br> STI_INFECTION_STATUS<br> Pair based on STI status (TRUE/FALSE axes).<br> INDIVIDUAL_PROPERTY<br> Pair based on individual properties (axes are the individual property values).<br> STI_COINFECTION_STATUS<br> Pair based on STI co-infection status (TRUE/FALSE axes).<br> HIV_INFECTION_STATUS<br> Pair based on HIV infection status, as per infectivity (TRUE/FALSE axes).<br> HIV_TESTED_POSITIVE_STATUS<br> Pair based on HIV infection status, as per test results (TRUE/FALSE axes).<br> HIV_RECEIVED_RESULTS_STATUS<br> Pair with someone who has received similar HIV test results (UNKNOWN, POSITIVE, NEGATIVE axes)."
Property_Name,string,NA,NA,NA,"If **Group** is set to INDIVIDUAL_PROPERTY, the name of the individual property as defined in the **IndividualProperties** section."
Start_Year,float,1900,2200,1900,The year to start using the assortivity weighting matrix. The value must be prior to the current year or **Group** will be set to NO_GROUP. Used only when the **Group** value is one of the following:<br> <br> * STI_COINFECTION_STATUS<br> * HIV_INFECTION_STATUS<br> * HIV_TESTED_POSITIVE_STATUS<br> * HIV_RECEIVED_RESULTS_STATUS.
Weighting_Matrix_RowMale_ColumnFemale,matrix of floats,0,1,0,The weights to apply to pair formation rates for individuals belonging to the groups defined in **Axes**. Rows are indexed by the male attribute and columns by the female attribute as defined in **Axes**. A single row or column cannot be all zeros. The matrix must be square with the number of dimensions defined by the number of entries in **Axes**. See [example](../json/demo-assortivity-hiv-weighting-matrix-rowmale-columnfemale.json).
