Parameter,Type,Min,Max,Default,Description
Migration_Pattern,enum,NA,NA,RANDOM_WALK_DIFFUSION,"Describes the pattern of travel used during migration. **Migration_Model** must be set to FIXED_RATE_MIGRATION.<br> Possible values are: <br> <br> RANDOM_WALK_DIFFUSION<br> Individuals retain no memory of where they came from; every move is to a new destination with no thought of returning home.<br> SINGLE_ROUND_TRIPS<br> Individuals have a probability (determined **Local_Migration_Roundtrip_Probability**, **Air_Migration_Roundtrip_Probability**, etc.) that they will return to their original location after some duration of time. If they do not, the current location is the new departure point for migration, but their original location remains their home node.<br> WAYPOINTS_HOME <br> Individuals go on a multi-step journey along several waypoints and then retrace their steps back along their path once they have reached a maximum number of waypoints from their home node. For example, the path of travel would be 1 -> 2 -> 3 -> 4 -> 3 -> 2 -> 1 if their home is node 1. On the outbound journey, the duration at each waypoint is not set explicitly but is determined by each node's migration rate; on the return journey, one timestep is spent at each waypoint."
Regional_Migration_Filename,string,NA,NA,"""""","The path of the input file which defines patterns of migration by vehicle via road or rail network. If the node is not on a road or rail network, regional migration focuses on the closest hub city in the network. The file must be in .bin format. See [Migration](software-migration.md) for information on migration files."
Regional_Migration_Roundtrip_Duration,float,0,10000,1,The average time spent (in days) at the destination node during a round-trip migration by road network. **Migration_Pattern** must be set to SINGLE_ROUND_TRIPS.
Regional_Migration_Roundtrip_Probability,float,0,1,0.1,The likelihood that an individual who travels by vehicle to another node will return to the node of origin during the next migration. **Migration_Pattern** must be set to SINGLE_ROUND_TRIPS.
Roundtrip_Waypoints,integer,0,1000,10,The maximum number of points reached during a trip before steps are retraced on the return trip home. **Migration_Pattern** must be set to WAYPOINTS_HOME.
Sea_Migration_Filename,string,NA,NA,"""""",The path of the input file which defines patterns of migration by ship. Only used when **Enable_Sea_Migration** is set to true (1). The file must be in .bin format. See [Migration](software-migration.md) for information on migration files.
Sea_Migration_Roundtrip_Duration,float,0,10000,1,The average time spent at the destination node during a round-trip migration by ship. Used only when **Migration_Pattern** must be set to SINGLE_ROUND_TRIPS.
Sea_Migration_Roundtrip_Probability,float,0,1,0.25,The likelihood that an individual who travels by ship into a neighboring node will return to the node of origin during the next migration. Used only when **Enable_Sea_Migration** is set to true (1).
x_Air_Migration,float,0,3.40E+38,1,"Scale factor for the rate of migration by air, as provided by the migration file. **Enable_Air_Migration** must be set to 1."
x_Family_Migration,float,0,3.40E+38,1,"Scale factor for the rate of migration by families, as provided by the migration file. **Enable_Family_Migration** must be set to true (1)."
x_Local_Migration,float,0,3.40E+38,1,"Scale factor for rate of migration by foot travel, as provided by the migration file. **Enable_Local_Migration** must be set to 1."
x_Regional_Migration,float,0,3.40E+38,1,"Scale factor for the rate of migration by road vehicle, as provided by the migration file. **Enable_Regional_Migration** must be set to 1."
x_Sea_Migration,float,0,3.40E+38,1,"Scale factor for the rate of migration by sea, as provided by the migration file. **Enable_Sea_Migration** must be set to 1."
