Rel_ID,Node_ID,Rel_start_time,Rel_scheduled_end_time,Rel_actual_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,male_ID,female_ID,male_age,female_age,num_total_coital_acts,Termination_Reason
172897,10,3762.33,3768.5,3762.33,3,F,3016,113676,43.5092,29.6387,1,SELF_MIGRATING
172179,10,3755.31,3772.11,3762.33,3,F,111080,11486,34.4463,44.2118,1,SELF_MIGRATING
172881,10,3762.33,3773.72,3762.33,3,F,111080,717,34.4463,17.0808,1,SELF_MIGRATING
172868,10,3762.33,3768.25,3762.33,3,F,111080,47236,34.4463,46.0892,4,SELF_MIGRATING
172189,10,3755.31,3781.92,3762.33,3,F,3016,95405,43.5092,58.1862,5,SELF_MIGRATING
172888,10,3762.33,3763.51,3762.33,3,F,38645,95405,21.21,58.1862,2,SELF_MIGRATING
172884,10,3762.33,3766.08,3762.33,3,F,65716,95405,37.7356,58.1862,3,SELF_MIGRATING
172887,10,3762.33,3763.07,3762.33,3,F,65716,47236,37.7548,46.0892,1,SELF_MIGRATING
172885,10,3762.33,3766.88,3762.33,3,F,65716,11486,37.7548,44.2118,3,SELF_MIGRATING
172896,10,3762.33,3763.24,3762.33,3,F,3016,47236,43.5092,46.1084,1,SELF_MIGRATING
172891,10,3762.33,3769.05,3762.33,3,F,38645,47236,21.21,46.1084,1,SELF_MIGRATING
172183,10,3755.31,3763.98,3762.33,3,F,38645,717,21.2292,17.0808,1,SELF_MIGRATING
172890,10,3762.33,3786.33,3762.33,3,F,38645,11486,21.2292,44.2118,4,SELF_MIGRATING
172893,10,3762.33,3775.59,3762.33,3,F,3016,11486,43.5092,44.2311,1,SELF_MIGRATING
172895,10,3762.33,3764.87,3762.33,3,F,3016,717,43.5284,17.0808,1,SELF_MIGRATING
172190,9,3755.31,3760.9,3762.33,3,F,202259,2323,20.2242,18.1876,1,BROKEUP
172191,9,3755.31,3757.87,3762.33,3,F,202259,28129,20.2242,44.1352,2,BROKEUP
172192,9,3755.31,3756.39,3762.33,3,F,202259,42308,20.2242,47.9411,1,BROKEUP
172193,9,3755.31,3758.84,3762.33,3,F,202259,60557,20.2242,57.4423,1,BROKEUP
172194,9,3755.31,3756.49,3762.33,3,F,202259,1674,20.2242,18.0379,1,BROKEUP
172196,9,3755.31,3755.86,3762.33,3,F,202259,183570,20.2242,43.1332,4,BROKEUP
172197,9,3755.31,3759.54,3762.33,3,F,135258,42308,39.594,47.9411,1,BROKEUP
172198,9,3755.31,3755.96,3762.33,3,F,135258,148216,39.594,48.9379,2,BROKEUP
172201,9,3755.31,3758.1,3762.33,3,F,126711,42308,39.5426,47.9411,1,BROKEUP
172202,9,3755.31,3759.2,3762.33,3,F,126711,2323,39.5426,18.1876,2,BROKEUP
172205,9,3755.31,3760.69,3762.33,3,F,119968,42308,21.1026,47.9411,1,BROKEUP
172207,9,3755.31,3755.82,3762.33,3,F,119968,28129,21.1026,44.1352,3,BROKEUP
172208,9,3755.31,3759.08,3762.33,3,F,119968,183570,21.1026,43.1332,1,BROKEUP
172209,9,3755.31,3756.58,3762.33,3,F,119968,46763,21.1026,40.6729,5,BROKEUP
172213,9,3755.31,3755.55,3762.33,3,F,113588,183570,30.5623,43.1332,1,BROKEUP
172214,9,3755.31,3758.2,3762.33,3,F,113588,42308,30.5623,47.9411,5,BROKEUP
172215,9,3755.31,3762.08,3762.33,3,F,111795,60557,18.2142,57.4423,1,BROKEUP
172216,9,3755.31,3759.91,3762.33,3,F,111795,42308,18.2142,47.9411,3,BROKEUP
172218,9,3755.31,3757.78,3762.33,3,F,111795,46763,18.2142,40.6729,3,BROKEUP
172219,9,3755.31,3757.94,3762.33,3,F,111795,2323,18.2142,18.1876,2,BROKEUP
172221,9,3755.31,3759.01,3762.33,3,F,111619,46763,29.3783,40.6729,1,BROKEUP
172222,9,3755.31,3755.64,3762.33,3,F,111619,1674,29.3783,18.0379,1,BROKEUP
172223,9,3755.31,3760.59,3762.33,3,F,111619,28129,29.3783,44.1352,1,BROKEUP
172224,9,3755.31,3757.9,3762.33,3,F,111619,148216,29.3783,48.9379,1,BROKEUP
172225,9,3755.31,3758.64,3762.33,3,F,111619,2323,29.3783,18.1876,1,BROKEUP
172226,9,3755.31,3757.09,3762.33,3,F,111278,46763,20.7778,40.6729,1,BROKEUP
172227,9,3755.31,3759.78,3762.33,3,F,111278,148216,20.7778,48.9379,2,BROKEUP
172229,9,3755.31,3759.28,3762.33,3,F,111278,1674,20.7778,18.0379,1,BROKEUP
172231,9,3755.31,3756.14,3762.33,3,F,111278,64561,20.7778,17.7342,1,BROKEUP
172232,9,3755.31,3760.99,3762.33,3,F,111278,183570,20.7778,43.1332,3,BROKEUP
172235,9,3755.31,3759.47,3762.33,3,F,90279,60557,22.2737,57.4423,1,BROKEUP
172236,9,3755.31,3761.98,3762.33,3,F,90279,2323,22.2737,18.1876,1,BROKEUP
172239,9,3755.31,3756.71,3762.33,3,F,71348,1674,40.8685,18.0379,2,BROKEUP
172241,9,3755.31,3761.49,3762.33,3,F,71348,60557,40.8685,57.4423,4,BROKEUP
172242,9,3755.31,3756.98,3762.33,3,F,71348,2323,40.8685,18.1876,1,BROKEUP
172247,9,3755.31,3756.83,3762.33,3,F,37611,42308,35.0683,47.9411,3,BROKEUP
172249,9,3755.31,3756.49,3762.33,3,F,37611,28129,35.0683,44.1352,1,BROKEUP
